#AAPL_NASDAQ_16_06_2016_to_15_06_2017,,,,
Open,High,Low,Close,Volume
38.29,38.33,38.06,38.3,16404088
38.4,38.86,38.22,38.86,27770715
38.59,38.61,38.37,38.48,25331662
38.48,38.95,38.45,38.61,26624926
38.76,38.99,38.62,38.84,21069647
38.81,38.89,38.6,38.75,21250798
38.8,38.8,36.51,37.24,64882657
36.44,36.52,35.63,36.35,72307330
36.79,36.86,36.29,36.65,34165445
36.88,36.88,35.96,36.29,31531232
35.83,36.12,35.55,36.07,32165373
35.95,36.13,35.55,35.57,50361093
35.92,36.69,35.92,36.59,32541404
36.72,36.72,36.24,36.25,24900073
36.38,36.52,36.15,36.47,21265751
36.44,36.67,36.28,36.41,19106294
36.28,36.79,36.28,36.57,35439389
36.79,37.07,36.35,36.46,25692361
36.25,36.54,35.91,35.93,24761891
36.12,36.53,35.79,36.46,22082432
36.18,36.28,35.57,35.92,31499368
36.11,36.24,35.95,36.01,23024107